Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,81.690,0.878,0.537,0.937,0.550
BOOKKEEPER,3,IBK,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,99.743,0.993,1.000,0.998,0.994
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,95.159,1.000,0.862,1.000,0.890
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,83.462,0.890,0.603,0.952,0.608
BOOKKEEPER,4,IBK,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,99.743,0.994,0.999,0.999,0.994
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,97.161,0.999,0.918,1.000,0.936
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,83.883,0.914,0.585,0.953,0.609
BOOKKEEPER,5,IBK,NO_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,99.791,0.996,0.998,0.998,0.995
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,99.392,0.983,1.000,1.000,0.987
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,81.076,0.873,0.527,0.966,0.537
BOOKKEEPER,1,IBK,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,99.609,0.989,1.000,0.997,0.991
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,99.610,0.989,1.000,1.000,0.991
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,80.789,0.874,0.516,0.951,0.529
BOOKKEEPER,2,IBK,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,99.870,0.996,1.000,0.999,0.997
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,99.400,0.983,1.000,1.000,0.987
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,82.075,0.872,0.555,0.947,0.563
BOOKKEEPER,3,IBK,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,99.828,0.995,1.000,0.998,0.996
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,99.614,0.989,1.000,1.000,0.992
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,83.162,0.875,0.607,0.956,0.602
BOOKKEEPER,4,IBK,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,99.871,0.996,1.000,0.999,0.997
