Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa,NPofB20
STORM,4,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,43.938,1.000,0.312,0.656,0.144,0.3109981515711645
STORM,4,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,73.946,1.000,0.680,0.840,0.440,0.6365526802218114
STORM,4,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,98.776,0.991,0.994,0.976,0.959,0.9452402957486137
STORM,5,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,50.863,1.000,0.397,0.698,0.196,0.3558268079226163
STORM,5,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,65.060,0.999,0.571,0.785,0.330,0.5218793182865039
STORM,5,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,99.981,1.000,1.000,1.000,0.999,0.9442653155228006
STORM,6,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,96.919,0.994,0.968,0.971,0.908,0.9034821219911194
STORM,6,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,65.472,0.990,0.574,0.775,0.338,0.5136714185557373
STORM,6,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,98.805,0.985,1.000,0.970,0.962,0.9345641505024539
STORM,7,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,80.865,0.876,0.855,0.772,0.535,0.7641133754977747
STORM,7,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,72.417,0.853,0.744,0.708,0.379,0.6503398172017811
STORM,7,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,88.876,0.883,0.975,0.822,0.701,0.8746191703773143
STORM,8,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,84.923,0.953,0.822,0.866,0.675,0.7895121951219513
